Product Name,Brand Name,Price,Rating,Reviews,Review Votes
Samsung Galaxy S7 Edge G9350 32GB HK DUAL SIM Factory Unlocked GSM International Version no warranty (BLUE CORAL),Samsung,616.99,5,"As soon as i got this i have yet to put it down, SUPER FAST, AMAZING SCREEN, its the dream phone i have been waiting for. Easy to transfer my data to the new phone, very thing and light, when i first held it i was like ""omg this thing is super light"" like i would drop it forgetting about the weight of it lol Only thing i was ""eh"" on about getting it was the seal was detached from the box(wasn't broken but the adhesive was rubbed off from shipping/warehouse), and the branding that usually says ""S7 Edge"" on the back is not on this model which i think is a good thing but made me feel for about an hour ""man i got a fake"" but it was not the case at all, it felt like the real deal. I checked the settings and the software is super snappy and easy to use, in the ""about phone"" section of settings it does say model number and the phone type as what it was advertised.PRO:~Amazing screen~Great build~Wireless Charging/Water Resistant(i have tried the water resistance and i say it works, had residue from the stickers and so i ran under tap water and cleaned that right off)(i have yet to try wireless charging yet)NEUTRAL:~Battery(it seems great but at the same time not so great. I woke up at 7am with 100% and then by 8:45am its at 85% so i still great but i feel by the end of the night ill have 10% left or less. I am a heavy user when it comes to my phone)CON:~Charger it comes with is foreign(my seller gave me an adapter with my phone, but i don't know if that's every purchase so be well aware it MAY NOT come with an American Adapter)As far as i can tell that's about it so far, i will update my review when and if anything changes. Yet to test wireless charging but plan on picking one up soon and will add an edit to this.",4
BLU Energy X Plus Smartphone - With 4000 mAh Super Battery- US GSM Unlocked - Grey,BLU,139,5,"Got this phone through Amazon prime and they delivered in the time frame they promised. First off, I would like to say that I'm an avid user of smart devices and had my fair share of smart phones. The one phone I used a lot was the Samsung Galaxy S3. I loved this phone it ran smoothly, the camera was amazing and it was durable. Let me start off by saying I wanted to upgrade my phone again but was getting tired of forking out hundreds of dollars so I began my search for a device that would live up to my standards and not cost me an arm and a leg along the way. I started researching and talking to friends and came across the company BLU. Long story short I found the Energy X Plus and fell in love with the specs on paper. 4,000 mAh battery, huge 5.5"" screen, 8 MP camera this phone had amazing specs. Now when I received my phone I admit I was worried because like most people I've never heard of BLU and was skeptical after all anyone could write nice specs and call it a day. I'm here to tell you now that this phone doesn't just sound good on paper it's actually amazing in person as well. The screen is 5.5"" HD which through me off because it's not SUPER AMOLED and to be honest there is a slight color difference but nothing to complain about at all. In fact if I had to search for one thing I did not like about this phone that would be it and that's searching really, really hard for something but other than that, my Samsung S3 and this Energy X Plus look the same. Now the other thing that worried me was the processor, ram, internal memory and all of the hardware. Let me break it down for you in simple terms without a lot of technical words. When I got this phone I proceeded to download in the course of 1 hour over 20 applications one after the other we're talking games, apps, music you name it I was downloading it all while browsing the web and opening other applications. I worried about lag and being slowed down, I have never had a phone perform so well under all that constant usage no lag, no skipping the phone performed beyond my wildest dreams it blew me away. So I was convinced the processor and ram have to be pretty good to keep up with all of my activities without lagging. Well I was happy with the hardware it was time to move onto the camera a feature I'm very hard on because I love taking photographs of everything. The camera like most phone has a rear 8MP camera with flash and auto focus along with a slew of other things to try out including a photo editor built in, the front facing camera is 5MP also with a flash. The quality of the pictures were comparable to most smartphones nowadays, they didn't seem off color, blurry or grainy what so ever. Moving onto the battery it's obvious main feature occupying the phone is a 4,000 mAh battery this is a massive size battery, but in respect to the device it's not a turtle shell it fits smoothly in the phone it does add weight to the phone, but it's still not a brick in your pocket. So realistically I've been using this phone since roughly 4 pm til now my time it's 5 am I'm still sitting at 34%. Now if that doesn't seem impressive enough this is what I've been doing on it non stop, streaming videos, playing games for hours, browsing the web, downloading music, reading, playing more games *high demand games*. This went on and on the phone screen did not shut off at all and when I checked before writing this the phone made me fully aware that it was not gonna shut down on me anytime soon by telling me it still had roughly 8 more hours of battery left, I was convinced this battery is the real deal. So here I was again impressed with a ""Budget"" phone. All aspects of this device blew me away and just left me in utter shock as to how a phone with a price tag under $500 or even $150 could preform like the rest of the competition and still not charge you an arm and a leg. In closing I just wanted to say that this phone is well worth your money if you need a phone that will out last your day, perform smoothly and look good doing it then this is definitely your device. Thanks for reading hope all your major questions are put to rest.",40
Sony Xperia E C1504 Unlocked Android Phone--U.S. Warranty (White),Sony,34.99,3,"its a nice phone , but the data usage is working. maybe because it is a boost mobile phone",0
Apple iPhone 5c 32GB (White) - AT&T,Apple,279.95,5,Arrived on time! Has a few scratches but it works and I'm happy about this product,0
OtterBox Defender Series Case for Apple iPhone 6 Plus - Ink Blot,,24.99,3,"The phone fits very well with the exception of the screen protector. There is a gap between the case and the phone screen that makes it hard to use the phone. The case seems like it will protect the phone well, but the screen protector was too annoying. I decided to go a different direction with my phone case.",0
Nokia 6350 Gray AT&T 3G Flip No Contract,Nokia,269.1,5,"Really small and compact. Sound great. Transferred my sim card with out any problems. ATT sim card. Will be trying in Europe soon. To text you have to be patient, because it's old school key pad. But otherwise I like it.",0
Blackberry 8350i Curve Nextel Boost Mobile Pda Cell Phone,,29,5,The phone works fine. I recieved it like 2 days later. It had everything in and everything was new. Loved it,0
BLU Studio Selfie - Smartphone - GSM Unlocked - Gold,BLU,94.99,4,Would do 5 stars but every time I am on phone I get 5 to 10 apps opened and or mute or hang up my calls. Should have a better system for those issues. The ear buds w microphone that came with phone didn't work so been using old ones ghat hurt my ears. I emailed Blu about this and have yet to get a response but overall like this phone. It is fast.,0
Apple iPhone 4S 16GB 3G WiFi White Smartphone AT&T,,74.95,5,It works great. There was rarely any marks on it. That's for an amazing product,0
BLU Advance 4.0L Unlocked Smartphone -Global GSM - Orange,BLU,77.99,1,Absolutely garbage. Do not buy. A waste of money. Dose not work when I need it. Used all my mobile data even after I turned mobile data off.,0
LG Electronics LG-D855-G3-32GB Unlocked Cell Phone - Retail Packaging - Black Gold - (International Version no warranty),LG Electronics,225.95,3,I thought this would work with my carrier and was sad to find out it did not work with my t-mobile 4G.,3
HTC One M8 - Factory Unlocked 32GB - US Warranty (Glacial Silver),HTC,138.99,4,"This just is a nice and proven phone. Originally I had bought the Blu studio 6.0 lte as the specs on that one are almost comparable. Hower that one ended up being a bad unit and was returned. Then I bought this. Love this phone. Although the screen is not 6 inches, it is big enough to work with.This review is being typed on the phone and the keyboard is easy to use.After set up, it will update to Lollipop. The thing which is mentioned not anywhere is that it requires a nano SIM card. So be prepared to get one of those.Ofcorse the m9 is bigger and better but also more expensive. Although this one is not cheap. It is a great phone with great specs. Clear screen, easy to use and great sound. Some people do not like the power button on top. I do like. The only dislike is the headphone pluggs in in the bottom next to the usb power.Enjoy it",0
"Samsung Galaxy S6 SM-G920i Factory Unlocked Cellphone, 32GB, Blue INTERNATIONAL VERSION NO WARRANTY",samsung,429.99,5,Excellent product,0
Samsung Galaxy S III SGH-T999 T-Mobile GSM Unlocked Android Smartphone - Black,Samsung,325,3,I've only had my phone for a few weeks and I am already having battery issues.,0
Apple iPhone SE Unlocked Phone -16 GB Retail Packaging - Space Gray,Apple,438.95,5,Its all as described. It works well and using it now.,0
LG enV2 VX-9100 Black QWERTY Cell Phone for Verizon Wireless,LG,78,5,these are great phones i ordered one and i dont have one problem with this phone and i didnt have a problem activating the phone.this phone is worth getting,
OtterBox 'Defender' Case for Samsung Galaxy S5 (all models) + Belt-Clip/Holster - White/Blaze Pink,OtterBox,41.49,5,Looks great,0
HTC One Mini 16GB 4G LTE Unlocked GSM Android Smartphone - Silver (No Warranty),HTC,104.99,5,Phone was delivered in a blink of an eye. Works great with all local carries in SA and it's a great handset all in all.,1
"Blackberry Bold Touch 9930 CDMA GSM Unlocked Phone with Touch Screen, 5MP Camera and Blackberry OS 7 (Black)",BlackBerry,104.95,5,Looks great for a used device. And works flawlessly,0
Samsung Galaxy S7 Edge Factory Unlocked Phone 32 GB - International Version G935F- Platinum Gold,,594.89,5,Best phone ever! Happy and satisfied!,0
BLU Tank II T193 Unlocked GSM Dual-SIM Cell Phone w/ Camera and 1900 mAh Big Battery - Unlocked Cell Phones - Retail Packaging - Black Red,BLU,20.99,2,"The audio quality in phone mode was very poor. I frequently had problems hearing if there was any background noise at all. The most troubling aspect of the phone was the raised keys on the keyboard, which caused the device to turn off and on whenever it was in my front pocket and sat down or bent over. After about one month I have already replaced it with another model.",0
Apple iPhone 4S 16GB 3G WiFi White Smartphone AT&T,,74.95,1,i was fooled is not at&t is sprint and so far i have not able to use so don't do that to de customer again,2
"Blu Studio C Mini Quad Core, 4.7"" IPS, Android 4.4 KK, 4G HSPA+, 5MP Camera - Unlocked Cell Phones -Yellow",BLU,92,4,"Excellent item ... Just need more RAM, for greater capacity and will",2
Sony Xperia M4 Aqua 16GB GSM/LTE Unlocked Cell Phone - Black (U.S. Warranty),Sony,199.99,2,"Phone developed a problem with the microphone after about 10-11 months of regular use, with the microphone completely failing within days of the 1-year warranty being over. Tried hard resetting the phone, upgrading the software to Android 6.0.1, but the problem could not be resolved.Contacted Sony support and after plugging in the IMEI their website says my phone was not under warranty, even though it was within a year of my purchase date from Amazon.Also had regular problems with SMS messages on this phone - messages received from people would periodically be in all Chinese characters (copied and pasted to Google Translate and the translation made absolutely no sense). I also had quite an unreliable time receiving MMS group text messages, with some responses not being received, or in the incorrect order. This is after consulting with the AT&T website and confirming that I had the correct APN settings entered.I tried the default Sony messaging app, Google Messenger, Google Hangouts, Textra, and other SMS/MMS apps, with no success.I have thrown in the towel on this phone, especially after the manufacturer refused to honor the 1-year warranty (as advertised in the product description).",0
Apple iPhone 5c 16GB (Green) - Sprint,Apple,605,5,Like a new phone no problems activating the phone,0
BLU Advance 4.0L Unlocked Smartphone -Global GSM - Orange,BLU,77.99,5,I love my phone it's a really bright pink but I love it,0
Nokia Lumia 820 Unlocked GSM 4G LTE Windows 8 OS Smartphone - White,,94.95,1,its not unlocked,0
Samsung Galaxy Note 3 (SM-N900V) - 32GB Verizon + GSM Smartphone - White (Certified Refurbished),Samsung,219.99,4,"It still says unknown sim card, however, that isn't an issue since it does still work with the T-Mobile company",0
BLU PURE XL Smartphone - 4G LTE GSM Unlocked - 64GB +3GB RAM - Gold,BLU,134.95,1,"I bought this phone in March or April 2016, using Amazon. Worked fine until June 2016. Tried to get a replacement. Was told warranty expired. The phone has a manufacturer flaw. It resets itself and reboot continually. After a while it went to the BLU boot screen and nothing happens after that. Tried resetting with soft and hard reboot to no avail. What am I to do?",2
Huawei U8833/Y300 Android 4.1 Dual Core 1.0GHz 4.0 inch WVGA,,99,5,perfect,0
BLU Dash JR 4.0 K Smartphone - Unlocked - Silver,BLU,125,2,"This is a cheaply made phone, but I needed a phone badly at the time and it did the job.",0
Nokia 3710 Unlocked Phone with 3.2 MP Camera and GPS--U.S. Version with Warranty (Black),Nokia,269.1,5,"This phone is exceptional for sound and camera functions, for people that don't need the data package. I saved $20.00 per month by eliminating the data portion and only getting the 1000 text message plan for $10.00 per month. Camera has a flash and takes great pictures, music is really clear and sounds great. Voice communication is really clear and one of the best phones I've had and I've had a few. Smart phones are okay for the working people but I'm retired and only need the basics, which this phone gives you. Price was low and phone is one of my best. Recommend to anyone only needing text message and voice calling.",3
"Smart watch, GEEKERA Bluetooth Watch Phone All-in-1 with IP65 Waterproof, Heart Rate Monitor, for iOS Apple iPhone and Android Samsung, LG, HTC, Huawei ( Black )",GEEKERA,159.99,5," I received this GEEKERA Bluetooth Smart Watch two days after I placed my order. Easy to order, Excellent packing and Product came faster than expected.Attached few pictures and video for reference.This GeekEra Smart Watch is packed with tons of features (it is so hard to mention each feature here). Need much time to understand each feature. All the magic will be done by using Fundo Companion app from iStore/AppStore.It is easy to sync with iPhone or Andriod phone or tablet or laptop or PC. I feel like this GeekEra Smart Watch has exceptional features than iWatch or Samsung Gare or Garmin Vivoactive or Fitbit Surge.Insert Sim Card and use as a regular Cell Phone, I can't believe it. This watch has a very serious feature, it works like a phone. I can say this GeekEra Smart Watch has a bright feature in the market.It is a perfect Smart watch to receive the calls, text, Hands-free, Health Monitoring tools (Heart Rate, Step Motion , Calories , Sports Mileage ), Weather Monitoring tools (Temperature, altitude, Air Pressure, UV) and many more features.I am really happy with the GeekEra SmartWatch.More Positives:-- Sync with Andriod or iOS-- Insert Sim Card and use as a regular Cell Phone-- Made of Quality materials (Aluminum alloy 'round frame' and Silicone strap)-- Easy to wear-- Easy to charge-- Waterproof IP65(Life proof , don't use when bathing, swimming)-- Excellent battery life ( 280 mAh, Stand by-120H, Use for-3H )-- Wireless charging-- Phone Work with GSM networks (GSM850/900/1800/1900MHz Unlocked for Worldwide use)-- One SIM slot (Micro SIM)-- Multi-Languages support (English, French, German, Spanish, Portuguese, Italian, Dutch, Russian, Polish and Turkish)-- Better Memory Capacity (128M+64M)-- Excellent Display-- Nice Touch Screen-- Connect any device using Micro usb 5 PIN-- Lightweight (1.6 ounces)-- Health monitoring tool-- Weather monitoring tool-- Stylish and sleek designCons:-- None (So far)Below listed factor(s) shows the seller confidence in their product quality.- 12-month warranty- 30-day 100% money back full refund guarantee (no questions asked)- responsive after-sales supportIt is shipped by Amazon, so you are assured of it is ease of refund if found defective.Please refer product disclosure for size (measurements), capacity, warranty and other questions.All items I review are used day to day, in normal everyday settings and I will update my rating and review based on normal everyday usage if my opinion or experience changes.Especially I will add pictures once I notice if any issues/progress with this product.I hope this review will be helpful.Please do not hesitate to click Yes button ""Was this review helpful to you?"", If my review is helpful to you. I appreciate your support and Thanks in advance.",5
CNPGD [U.S. Warranty] All-in-1 Smartwatch and Watch Cell Phone Silver,CNPGD,49.99,1,Not what the description says. Never could find connect to phone. Never could use...returned it.,0
"POSH MOBILE TITAN PRO HD ANDROID GSM UNLOCKED DUAL SIM 5.5"" HD SMARTPHONE EXTRA-large HD display, 13MP Camera and 8GB of Storage. 1 Year warranty. (Model#: E550 WHITE)",Posh Mobile,97.99,4,"I bought this with the intention of using it on WiFi for a while to decide if it would make a good phone. I still have not connected it with a cellular service, so I can't comment on call quality, but I do intend to. I was a little concerned about the screen size, the battery size and the amount of memory.The memory is workable if you remember to shut down apps that you aren't using. It's less tolerant of lots of apps running in the background than, some higher end devices like my Nexus 7, but with a little attention, it's not a problem.The battery, while small by today's standards, is adequate, given the small screen and modest processor power.The screen is decent. It doesn't like steep viewing angles, but despite its low resolution, still looks sharp, thanks to its small size. Speaking of size, the screen is legible and usable despite its size. It just displays less information at a time. it slows me down a bit, but it's a trade off for the small size of the phone.Cameras: not to be used for anything important, but they work for still shots and video.Bottom line- this is a cheap phone, so adjust expectations accordingly. That said, it is a capable phone which does the things you would expect a smartphone to do, with the added benefit of being very cheap, light and tiny.",0
"POSH MOBILE KICK ANDROID GSM UNLOCKED DUAL SIM 5.0"" SMARTPHONE with unique colorful design, FULL-sized display, 5MP Camera and 8GB of Storage. 1 Year warranty. (Model#: X511 BLACK)",,97.59,4,"I bought this product for a very particular purpose, to stream Pandora over WiFi at the gym. After searching for a WiFi capable MP3 or iPod, I realized there was no such thing. If there was, it was ridiculously expensive. Thinking outside the box I decided to purchase the smallest phone I could find, the POSH. It was difficult setting up the SIM card I bought from Walmart because of how small the buttons are, but it is surprisingly responsive. It does a great job for me at the gym with wireless earbuds linked (POSH is Bluetooth compatible). It is also a plus being able to make an emergency phone call whenever needed. The size comes in handy when you have little to no space. As an everyday phone, it may be a little too petite. Perhaps a young teenager may view it as quite the novelty. :) I hope this helps some of you in deciding. Thank you.",2
Studio 7.0 LTE - Smartphone - GSM Unlocked - Grey,BLU,NA,1,"The phone is a piece of trash. All it does is freeze up on me, go off and restart itself, inconvenience me and it's nothing but a big worthless crap. Regret ever buying it and to think I encourage my friends to buy this phone. They are having the same problems too. And to think it's described as a Smartphone. Rename it to Dunce Phone. Seems like it has alzhemer too.",0
OtterBox 'Defender Series' Rugged Case for Samsung Galaxy S5 w/ Belt-Clip - Foggy Glow/Lime Green (Retail Packaging),OtterBox,59.95,1,Broke my s5 phone,0
"Apple iPhone 6S Plus Unlocked Smartphone, 16 GB (Rose Gold)",Apple,669.95,5,I was a bit skeptical at first but I was very impressed. It really is factory unlocked and it works on any network. Very impressed with Apple Express.,0
"Apple iPhone 6 Plus Factory Unlocked Cellphone, 64GB, Silver",Apple,605,5,Like new and functioning perfectly!,0
"Samsung Galaxy S5 Mini G800H Unlocked Cellphone, International Version, 16GB, Black",Samsung,799.99,5,"Excelent service, anda good phone",0
Apple iPhone 5s 64GB (Space Gray) - T-Mobile,Apple,92.86,5,Amazing quality. I knew what i was receiving because i already owned an iphone 5S. Unexpected fast delivery. Definitely will buy again ( if i break this one..haha),0
"LG Nexus 5X Unlocked Smart Phone, 5.2"" Ice Blue, 32GB Storage, US Warranty",LG Electronics,325,5,Great product.,0
"LG KP500 Cookie Unlocked Phone with 3.2 MP Camera and Digital Media Player--International Version (Black), No-Warranty",LG Electronics MobileComm USA,79,4,"this is a good buy and a good phone, only thing is I got the international version and can not set the browser to go on the internet. contacted the vendor(unlockcellphonekings) via e-mail on the 12-10-2010 and have not even gotten any reply to my inquiry for help to set the browser or just send me a copy of a manual in english bec. the one i got have it in polski( i think this is polish ). I suggest get a U.S. version.",0
LG Google Nexus 5X H791 16GB 4G LTE 5.2-Inch Factory Unlocked (CARBON BLACK) - International Stock No Warranty,LG,319.99,1,Well it's working but not I expected!! It does some weird features like it got zoom out when I'm texting and sometimes got kinda frozen too... Mmmmmm kinda disappointed!!,0
"Apple iPhone 6s 64 GB Rose Gold, AT&T",Apple,399.99,2,Was internally damaged when I received it,3
"Huawei Ascend G730 (White) 5.5"" GSM 3G (Factory Unlocked) Quad Core Android Phone",Huawei,110,5,muy bueno,0
"Yezz Andy 4E2 Unlocked Android Phone, with interchangeable colors back covers - Blue",Yezz,57.42,5,"Awesome product. It has an amazing touchscreen, great sound quality and it's beautiful. I will definitely recommend this product to anyone and anytime.",6
Apple iPhone 7 Unlocked Phone 128 GB - US Version (Rose Gold),Apple,824.95,5,"Very happy with my purchase, price, shipping and arrival time!",0
LG Chocolate Touch VX8575 3G CDMA GPS Phone Verizon,LG,16.99,5,great,0
Nokia Lumia 635 8GB Unlocked GSM 4G LTE Windows 8.1 Quad-Core Phone - White,Nokia,99.95,5,"I mistakenly submitted a review on this product that was supposed to be for the Anti-glare screen, please disregard the previous comment. This phone is wonderful, more than I expected, I'm still learning about the features. I have already recommended this phone to friends who are in awe of it's performance and the Win OS.",0
"BLU Dash M - 5.0"" Smartphone - Global GSM Unlocked - Black",BLU,69.99,5,very good,0
Sony Xperia Z3+ (Z3 Plus) E6553 5.2-Inch 32GB Factory Unlocked Smartphone (Black) - International Stock no warranty,Sony,305,5,I love it!,
"Huawei Ascend Y530, 4GB, Factory Unlocked GSM Android Smartphone - Black",HUAWEI,104.65,5,very good product and excellent service and speed,0
"Blackberry Curve 8310 Unlocked Phone with GPS, 2MP Camera and Bluetooth",BlackBerry,14.87,5,excelente,0
Samsung Galaxy Grand Prime DUOS G531H/DS - Gold (International Version),Samsung,179.99,2,I could not use the phone so I had to send it bad.,0
BLU Dash JR 4.0 K Smartphone - Unlocked - White,BLU,43.95,1,It has a mind of it's own! It changes time zones all the time and it only takes calls when it wants to. Not a very dependable phone. I'm sending it back!,0
Samsung Intensity II SCH-U460 Black Verizon Cell Phone,Samsung,129.99,4,"Slightly used, good condition, my only complaintis they forgot to wipe all the numbers and info from the phone, my kids like it just fine though",
Kyocera Hydro C5170 PrePaid - Boost Mobile,,27.47,5,he loves his phone he can hear it and its durable. He works hard jobs and he is 95 percent deaf.,5
Apple iPhone 4 16GB (Black) - AT&T,Apple,208.79,5,"I am very happy with my phone. It actually came 2 days earlier than scheduled. It was in excellent working condition. I read a bunch of reviews before I ordered it. I was worried about buying used electronics. Something I never do. But, I'm glad I did. I saved alot of money and That's always a plus!",0
Samsung Galaxy S4 SCH-I545 16GB Arctic Blue - Verizon Wireless,,149.99,5,"I love my phone, thank you! It is a great phone",0
CNPGD All-in-1 Watch Cell Phone & Smart Watch Sync to Android IOS Smart Phone (Silver),,59.99,5,Excellent,0
Plum Ram - Unlocked Rugged Phone - Tough Durable IP67 - Water Shock Proof GSM (Orange),Plum,49.99,5,It was a gift. Good choice. The cellphone is resistant and confortable.,1
Sony Xperia Z1 C6903 16GB Unlocked GSM 4G LTE WaterProof Smartphone w/ 20MP Camera and Shatter-Proof Glass - Black,,219.99,5,"A great phone!!! Hi specs and excellent performance. However, not all the frequencies are USA compatible so, my recommendation is verify before hand with your mobile provider in order to reach the most of the device (internet speed, mainly). Highly recommended!!!",0
"Samsung Galaxy Star Pro DUOS S7262 Unlocked Cellphone, White",,249.99,2,This phone is so slow and has a security lock on the phone that pops up when you try to make a call. I will not recomment this phone to any one.,0
Samsung Galaxy S3 Mini GT-i8190 factory Unlocked International Verison No Warranty - BLUE,Samsung,188.99,1,Ordered 10 phones. Only 1 of the 10 actually had NFC capabilities.,0
Samsung Galaxy S4 SGH-I337 Unlocked GSM Smartphone w/ 13 MP Camera - Red (No Warranty),Samsung,288.89,1,Had to return the phone because of the constant SIM card error.,0
Apple iPhone 5s 32GB (Gold) - AT&T,Apple,54.34,5,A+++,0
"ljersa® 1.54"" Unlocked Quad-band S29 Smart Watch Phone Support Camera TF Card Micro SD Card SIM Card Bluetooth Wrist Smartwatch Smart Mobile Phone (Black)",Sudroid,59.99,5,Great watch works well use it as an emergency backup to my sim phone. Does everything described.,0
"Samsung Galaxy S3 Mini GT-I8200 Unlocked Cellphone, White, 8GB",Samsung,249.99,5,Recomendado,0
BLU Energy X Plus Smartphone - With 4000 mAh Super Battery- US GSM Unlocked - Grey,BLU,139,4,"Hi all! I've been used this Energy X Plus for more than a week now. Like many other commenters stated this phone came with stock android with minimal ""bloat ware"" (which i really like) . Quality built very good and solid, camera not that impressive it's just average. Phone pretty responsive once you touch. Battery that BLU claim to be 3 days but for me an average user checking mail, surf the web it last me nearly 2 days (way better than my samsung note from T-Mobile.I had little problem with 64gb sd card that it can't read. Turn out to be right out the box the sd card was format with xfat file system, so i have to reformat it to FAT32 than the phone was able to read the card afterward.I just wish BLU woud step up on the hardware little bit more like bump-up the ram to 2gb or so. Over all this is worth it phone for budget sensitve user like myself.I would recommend for anyone that don't have alot of money for the high end phone, after all this phone does everything that high end phone does for the budget.",0
Samsung Galaxy S3 SGH-i747 4G LTE GSM Unlocked 16GB No Warranty (White),Samsung,88,4,"Arrived new in box in original plastic interior bags, ear buds, per adapter. Worked no problem and took the new sim. Unlocked as promised. All parts were original Samsung parts (adapter, battery, etc). Phone arrived two days late even though I paid for $8.99 for exposure two day service. Seller offered to refund shipping as he has no idea why it was late. No refund to date after one week.",1
Apple iPhone 5s 32GB (Silver) - AT&T,Apple,43.95,5,"The product is exactly as described, like new iphone5s. In its original package and with all its accessories",0
"Motorola Moto X (2nd generation) Unlocked Cellphone, 16GB, Black Soft Touch",Motorola,279.95,5,All right. No problems.,0
Apple iPhone 6 Plus 128GB Factory Unlocked GSM 4G LTE Cell Phone - Gold,,699.95,5,Great apple phone. I bought it as a replacement for my 5c 32Gb. Great battery lasts for 2 days. Touch sensor very sensitive to wet fingers - can't recognize. Big screen is amazing. Cellular sensivity better than in 5c.Great phone !,1
"BLU Star 4.0 S410a Unlocked GSM Android 4.2 Smartphone with 4.0"" Touchscreen - White",BLU,171.43,5,BELLO,0
